Abreviatura,Expansión
"Lastre","Material de alto peso especifico (plomo o hierro), que se coloca en el quillote para aumentar la estabilidad del barco." 
"Latitud","Angulo formado entre el paralelo de un lugar y el ecuador, medido en grados, minutos y fracción." 
"Levar","Levantar el ancla de fondo." 
"Limera","Abertura practicada en el fondo del casco para el paso de la mecha del timón." 
"Línea de crujía","Eje de simetría longitudinal del casco." 
"Línea de fe","Es aquella que se marca en el interior del mortero del compás magnético, para indicar la dirección de la proa o paralela al plano de la crujía." 
"Línea de flotación","Es aquella que coincide con la superficie del agua cuando el barco flota en su calado de diseño separando la obra viva de la obra muerta. Línea de posición","Es la sucesión de los posibles puntos de ubicación de un barco con respecto a un punto notable." 
"Llamador","En las drizas compuestas de cabo y cable es la parte de cabo de las mismas." 
"Longitud geográfica","Angulo formado entre el meridiano del lugar y el de Greenwich, medida en grados, minutos y fracción." 
"Lua","Cara de sotavento de una vela." 
"Lumbrera","Abertura en la cubierta de un buque, con tap de cristales que permite la entrada de luz." 
"Machos","Herrajes de timón que encastran en las hembras del mismo." 
"Maestra","La cuaderna mayor, la de más manga del barco." 
"Manga","Ancho del barco." 
"Maniobra","Evolución del barco en el agua. Nombre genérico que se da a un conjunto de cabos y/o aparejos." 
"Mano de rizos","Conjunto de matafiones y ollaos que permiten aferrar la vela cuando se reduce el paño." 
"Mapa","Superficie plana de la uña de un ancla." 
"Marcación","Angulo formado entre la visual de un objeto y el norte." 
"Mástil","Sinónimo de palo." 
"Matafiones","Cabos delgados que se hacen firmes a cada lado de la vela constituyendo la mano de rizos." 
"Mayor","Nombre que se da a uno de los palos del barco, en caso de que hubiera varios y a la vela que iza en él." 
"Mecha","Parte inferior del mástil, que encaja en la carlinga, a veces de forma cuadrangular o prismática. También se llama así al eje del timón, que vincula la caña con la pala del mismo, cuando no es del tipo suspendido en el espejo." 
"Mena","Grosor de un cabo medido por su circunferencia." 
"Mesana","En los aparejos de varios mástiles es el de más a popa. El mismo nombre se da a la vela que se iza en él." 
"Milla náutica","Longitud de un arco de meridiano que subtiende un ángulo de un minuto, medida a la altura del ecuador. Equivale a 1852 metros." 
"Molinete","Artefacto mecánico con forma de tambor y que tiene un mecanismo interno de crique, que facilita el cazado de los cabos." 
"Mordaza","Herraje que permite hacer firme un cabo en forma similar a una cornamusa, permitiendo filarlo con gran rapidez." 
"Morder","En el caso de un cabo, quedar apretado entre dos objetos. En el caso del ancla, clavarse bien en el fondo." 
"Mortero","Caja cilíndrica o semiesférica que contiene la rosa del compás magnético." 
"Mosquetón","Herraje similar a un garrucho que sirve para hacer firme el foque al estay de proa." 
"Motón","Herraje que sirve para cambiar la direcci6n de un cabo. Es el equivalente a las roldanas de uso terrestre." 
"Muerto","Ancla de gran peso o bloque de material pesado, fondeado con una cadena y/o cabo para construir la amarra." 
"Mylar","Moderno material sintético utilizado para la confección de velas." 
"Navegación","Es la ciencia y el arte de determinar la posición del barco y de conducirlo de un lugar a otro con seguridad y exactitud." 
"Nervadura, nervio","Refuerzo estructural que se hace a una placa de material o fibra de vidrio, para aumentar su rigidez." 
"Norte del compás","Es el que señala al que apunta, el compás magnético." 
"Norte geográfico","Es el verdadero, o sea la dirección del polo norte. No existe ningún instrumento que lo señale sin error." 
"Norte magnético","Es el correspondiente al campo magnético terrestre. Para conocer su ubicación se utiliza el compás magnético." 
"Nudo","Medida de velocidad equivalente a una milla náutica por hora." 
"Obenque","Cada uno de los cables que sostiene el mástil en sentido transversal." 
"Obenquillo","Obenque bajo, que sale a la altura de las crucetas." 
"Obra muerta","Es la parte del casco que sobresale de la superficie del agua." 
"Obra viva","Es la parte del casco que queda debajo de la línea de flotación." 
"Ollao","Ojal redondo que se hace en las velas, toldos o carpas." 
"Orejas de burro","Forma de navegar con viento en popa, llevando la vela mayor en una banda y el foque o la genoa en la otra." 
"Orla","Refuerzo de madera o aluminio que se coloca alrededor de la cubierta, sobre la regala." 
"Orza","Elemento de un barco pequeño que cumple funciones similares a las del quillote." 
"Orzar","Maniobrar de tal manera que la proa se acerque a la dirección del viento." 
"Pabellón","Es la bandera nacional." 
"Pairear, ponerse al pairo","Disminuir la velocidad orzando y/o filando las velas." 
"Palmear","Enjaretado de madera que se coloca a modo de piso." 
"Pala","Parte plana y ancha del remo que va sumergida, también suele llamarse pala a todo el remo. Cuando esta integrado con el bichero se lo llama pala bichero. Parte plana del timón que va sumergida." 
"Palo","Elemento básico de la arboladura, que sirve para establecer velas." 
"Palo seco","Dícese de un barco que tiene todas sus velas amarradas." 
"Pantoque","Parte del casco. Zona de transición entre el fondo y el costado, generalmente de forma curva." 
"Paño","Cada uno de los trozos de tela con que se confecciona una vela." 
"Pasamanos","Elementos de madera que suelen colocarse sobre la carroza o cerca de la proa para poder sujetarse al desplazarse sobre cubierta." 
"Pasteca","Especie de motón pero fijo por uno de sus lados al mástil, botabara, cubierta, o alguna otra superficie. También se llama así a un tipo especial de motón, que puede abrirse para colocar un cabo." 
